,Team 1,Team 1 Label,num boys Sports,T1 American Indian/Alaska Native,T1 Asian or Asian/Pacific Islander,T1 Hispanic,T1 Black,T1 White,T1 Nat. Hawaiian or Other Pacific Isl.,T1 Two or More Races,T1 Total Students,T1 Grades 9-12 Students,T1 Pupil/Teacher Ratio,T1 Charter School,T1 Magnet School,T1 Private School,MV,Total Games,Total Wins,Win Percentage
10769,Venango Catholic,10770,5.0,2.4,2.4,0.0,7.1,83.3,0.0,4.8,42.0,42.0,4.38,1,1,1.0,-27.75,19,2,10.5
10770,Valley Forge Military Academy,10771,9.0,0.0,20.0,10.5,24.0,43.5,0.0,2.0,200.0,174.0,9.48,1,1,1.0,-19.352941176470587,17,1,5.9
10772,Veritas Academy,10773,6.0,0.0,5.3,5.3,0.4,88.1,0.0,0.9,227.0,64.0,5.68,1,1,1.0,-18.166666666666668,19,2,10.5
10776,Warwick,10777,,0.0,35.3,5.3,19.3,34.8,0.0,5.3,207.0,159.0,8.25,1,1,1.0,12.925925925925926,29,21,72.39999999999999
10797,Westtown,10798,6.0,0.3,6.7,6.3,9.0,68.3,0.0,9.4,732.0,383.0,5.79,1,1,1.0,10.35,21,15,71.39999999999999
10803,William Penn Charter,10804,11.0,0.0,3.0,31.6,42.1,21.8,0.0,1.5,159.0,58.0,3.88,1,1,1.0,11.666666666666666,29,18,62.1
10811,Winchester Thurston,10812,9.0,0.0,13.9,3.4,9.2,65.7,0.2,7.6,715.0,262.0,8.44,1,1,1.0,5.75,20,11,55.00000000000001
10815,Woodland Hills,10816,7.0,0.0,2.3,0.0,43.0,43.0,0.0,11.7,128.0,44.0,6.1,1,1,1.0,-7.086956521739131,23,8,34.8
10821,York Catholic,10822,10.0,0.0,4.7,2.1,5.7,81.3,0.2,6.1,578.0,405.0,12.7,1,1,1.0,2.875,30,13,43.3
10829,Bishop Hendricken,10830,12.0,0.6,6.4,3.5,6.4,81.2,0.0,1.8,777.0,749.0,14.18,1,1,1.0,8.346153846153847,27,18,66.7
10844,Highlander Charter,10845,2.0,37.9,0.0,15.5,1.7,44.8,0.0,0.0,58.0,55.0,6.59,1,1,1.0,-7.9411764705882355,17,3,17.599999999999998
10883,Aquinas Academy,10884,3.0,0.0,6.2,5.2,11.5,69.8,0.0,7.3,100.0,27.0,8.5,1,1,1.0,3.6,15,10,66.7
10888,Calvary Christian Academy,10889,2.0,0.0,5.9,5.9,26.2,50.2,1.3,10.6,321.0,48.0,9.63,1,1,1.0,-5.388888888888889,18,6,33.300000000000004
10889,Chestertown Christian Academy,10890,4.0,0.0,2.1,2.1,0.0,95.7,0.0,0.0,97.0,26.0,9.31,1,1,1.0,-4.555555555555555,18,8,44.4
10894,Caravel,10895,6.0,0.8,18.1,3.9,19.1,54.6,0.0,3.5,1108.0,365.0,16.97,1,1,1.0,11.421052631578949,22,15,68.2
10896,Faith Baptist School,10897,3.0,0.0,1.1,3.2,10.6,85.1,0.0,0.0,123.0,15.0,7.46,1,1,1.0,-10.846153846153848,13,3,23.1
